"ID","PID","Title","keywords"
"B10ZErweitertKo","B10ZErweitert","Kopfrechnen","Calculate_product_or_quotient_mentally; Calculate_mentally; Predict_results_using_mental_calculation; Calculate_mentally_the_number_to_add_for_finding_a_given_result; Calculate_mentally_double_half_triple_third_of_natural_and_decimal_numbers; Calculate_mentally_quotient_and_remainder_of_division_in_simple_cases; Calculate_mentally_the_number_to_subtract_for_finding_a_given_result; Calculate_mentally_the_number_to_multiply_for_finding_a_given_result; "
"B10ZErweitertSR","B10ZErweitert","Sinnvoll Runden","Estimate_by_rouding_to_one_significant_figure"
"B10ZErweitertTa","B10ZErweitert","Taschenrechner verwenden","Calculator; Know_how_calculators_use_precedence; Use_calculators; Calculate_square_root_of_positive_number_with_calculator; Solve_numerical_problems_with_numbers_of_any_size_using_calculator_appropriately; "
"B10ZErweitertDez","B10ZErweitert","Dezimaldarstellung und Potenzschreibweise","Decimal_number; Exponentiation; "
"B10ZErweitertPZZ","B10ZErweitert","Prozente und Zinsen und Zinseszins","Apply_percentage; Use_percentage;"
"B10ZErweitertVG","B10ZErweitert","Variablen und Gleichungen","Use_expressions_with_letters; Equations; Solve_problems_using_linear_equation; Manipulate_equations; Explore_situation_or_problem; Use_variables; solve_inequalities"
"BSek1Kl10M","BSek1Kl10","Leitidee 'Messen'",""
"B10MEinfach","BSek1Kl10M","Einfacher Standard",""
"B10MEinfachMG","B10MEinfach","Messen und Größen","magnitudes_and_measurements; Control_appropriateness_and_accuracy_of_results; Time; Calculate_time; Calculate_duration; Mass; Calculate_change_of_units_for_mass; Calculate_lengths; Length_unit; Calculate_change_of_units_for_lengths; Compare_lengths; Area; Base; Compare_areas; Measure_area; Estimate_areas_in_2D; Measure_volume; Estimate_measure; "
"B10MEinfachFU","B10MEinfach","Flächeninhalt und Umfang","Formula_for_area; Calculate_area_of_figures_made_of_rectangles_and_right_triangles; "
"B10MEinfachVO","B10MEinfach","Volumen und Oberfläche","Volume; Capacity; Calculate_volume_of_cone; Calculate_volume_of_sphere; Use_formula_of_pyramid_volume; Use_formula_of_volume_of_cone; Calculate_volume_of_pyramid_using_formula;  Cone; Sphere; Pyramid; "
"B10MEinfachT","B10MEinfach","Trigonometrie","Calculate_length; Formula_for_length; Calculate_approximate_measure_of_acute_angle_with_given_sine_using_calculator; Calculate_approximate_measure_of_acute_angle_with_given_tangent_using_calculator; Calculate_angle_in_right_triangle_from_two_sides; Calculate_approximate_measure_of_acute_angle_with_given_cosine_using_calculator; Calculate_side_length_of_right_triangle_from_one_side_and_one_angle; Calculate_angle_in_right_triangle_from_one_side_and_one_angle; Trigonometric_ratio; Calculate_trigonometric_ratio; "
"B10MMittel","BSek1Kl10M","Mittlerer Standard",""
"B10MMittelMG","B10MMittel","Messen und Größen","magnitudes_and_measurements; Control_appropriateness_and_accuracy_of_results; Time; Calculate_time; Calculate_duration; Mass; Calculate_change_of_units_for_mass; Calculate_lengths; Length_unit; Calculate_change_of_units_for_lengths; Compare_lengths; Area; Base; Compare_areas; Measure_area; Estimate_areas_in_2D; Measure_volume; Estimate_measure;"
"B10MMittelFU","B10MMittel","Flächeninhalt und Umfang","Formula_for_area; Calculate_area_of_figures_made_of_rectangles_and_right_triangles;"
